#,Organization,Tier,Template,Template use,Email,Action,Official route,Named contact,Phone,Subject
1,Well& by Durst at One World Trade Center,1,C,Venue / hotel / hospitality,EventsOWTC@wellxdurst.com,Send Version C,Direct events email,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
2,Star Talent Inc.,1,A,Agency roster,info@startalentinc.com,Send Version A,Explicit musician submission by email,,646-216-2194,"Artist Submission: Joshua Quddus Quartet - NYC Jazz for Corporate & Private Events"
3,74Wythe,1,C,Venue / hotel / hospitality,events@74wythe.com,Send Version C,Direct events email and phone,,718-838-9569,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
4,NeueHouse Madison Square,1,C,Venue / hotel / hospitality,privateeventsny@neuehouse.com,Send Version C,Direct private-events email and phone,,212-273-0440,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
5,EastCoast Entertainment (ECE) - New York,1,A,Agency roster,ksweeney@bookece.com OR lnikolich@bookece.com,Pick 1 email then send Version A,Named NYC consultants,Kaitlin Sweeney; Laura Nikolich,484-674-7280; 631-356-4862,"Artist Submission: Joshua Quddus Quartet - NYC Jazz for Corporate & Private Events"
6,GigSalad,1,A,Agency roster,No public email,Use official route then Version A,Performer signup,,,
7,The Bash,1,A,Agency roster,No public email,Use official route then Version A,Vendor signup through marketplace,,,
8,Élan Artists,1,A,Agency roster,info@elanartists.com,Send Version A,Jazz & Performance Acts contact option,,888-800-3526,"Artist Submission: Joshua Quddus Quartet - NYC Jazz for Corporate & Private Events"
9,Scarlett Entertainment - New York,1,A,Agency roster,newyork@scarlettentertainment.com,Send Version A,Artist sign-up plus NYC email,,646-243-6366,"Artist Submission: Joshua Quddus Quartet - NYC Jazz for Corporate & Private Events"
10,Great Performances,1,C,Venue / hotel / hospitality,celebratefood@greatperformances.com,Send Version C,Direct event inquiry email and phone,,212-727-2424,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
11,ASPIRE at One World Observatory,1,C,Venue / hotel / hospitality,events@aspirenewyork.com,Send Version C,Direct events email and preferred-vendor page,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
12,Pier Sixty Collection,1,C,Venue / hotel / hospitality,events@piersixty.com,Send Version C,Direct events email and phone,,212-336-6060,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
13,The Glasshouse,1,C,Venue / hotel / hospitality,info@theglasshouses.com,Confirm buyer then send Version C,Direct email and phone,,212-242-7800,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
14,Tribeca Rooftop + 360°,1,C,Venue / hotel / hospitality,inquiries@tribecarooftopnyc.com,Send Version C,Direct inquiries email and phone,,212-625-2600,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
15,Hank Lane Music,1,A,Agency roster,info@hanklane.com,Confirm buyer then send Version A,General booking contact; request talent/artist review,,212-767-0600,"Artist Submission: Joshua Quddus Quartet - NYC Jazz for Corporate & Private Events"
16,The Bordone LIC,1,C,Venue / hotel / hospitality,mary@thebordonelic.com,Send Version C,Named direct email and phone,Mary Smithmeyer,917-295-4609,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
17,FIRST,1,B,Planner / experiential,No public email,Use official route then Version B,Dedicated supplier/vendor form,,+1 212-810-4100,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
18,Rainbow Room,1,C,Venue / hotel / hospitality,events@rainbowroom.com,Send Version C,Direct private-events email and phone,,212-632-5000,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
19,SUMMIT One Vanderbilt - Private Events,1,C,Venue / hotel / hospitality,summitevents@danielboulud.com,Send Version C,Direct private-events email,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
20,Central Park Boathouse Events,1,C,Venue / hotel / hospitality,events@centralparkboathouse.com,Send Version C,Direct private-events email,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
21,Sony Hall - Private Events,1,C,Venue / hotel / hospitality,jason@sonyhall.com OR olivia@sonyhall.com,Pick 1 email then send Version C,Named private-event contacts,Jason Kaciupski; Olivia DiCostanzo,646-819-0720; 646-819-0732,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
22,Tinsel Experiential Design,1,B,Planner / experiential,No public email,Use official route then Version B,Dedicated talent form,,,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
23,Union Square Events,1,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Main phone; confirm vendor route before inquiry,,212-488-1500,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
24,583 Park Avenue,1,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Official contact and vendor information,,212-583-7200,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
25,Convene - New York City Portfolio,1,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Portfolio contact and main phone,,1-888-730-7307,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
26,Conrad New York Downtown,1,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Hotel events page plus USE relationship,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
27,Rafanelli Events,2,B,Planner / experiential,info@rafanellievents.com,Confirm buyer then send Version B,Dedicated partner/vendor page,,888-593-1220,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
28,On The Move Entertainment,2,A,Agency roster,info@onthemove.com,Send Version A,Direct general email and phone,,212-229-1009,"Artist Submission: Joshua Quddus Quartet - NYC Jazz for Corporate & Private Events"
29,Neuman's Kitchen,2,C,Venue / hotel / hospitality,eventinfo@neumanskitchen.com,Send Version C,Direct event email and NYC contact page,,212-228-2444,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
30,620 Loft & Garden,2,C,Venue / hotel / hospitality,events@rockefellercenter.com,Confirm buyer then send Version C,Direct Rockefeller Center events email,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
31,Cipriani Events - New York Portfolio,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Central events form and phone,,646-723-0826,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
32,Hall des Lumières,2,C,Venue / hotel / hospitality,info@hdlnyc.com,Confirm buyer then send Version C,Direct email and corporate-events page,,332-242-8810,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
33,Metropolitan Pavilion,2,C,Venue / hotel / hospitality,info@metropolitanevents.com,Confirm buyer then send Version C,Direct general email and phone,,212-463-0071,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
34,New York Public Library - Stephen A. Schwarzman Building,2,C,Venue / hotel / hospitality (via Great Performances),celebratefood@greatperformances.com,Confirm buyer then send Version C,Venue partner email and phone,,212-727-2424,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
35,Whitney Museum of American Art,2,D,Cultural institution,whitneyevents@whitney.org OR corporate_partnerships@whitney.org,Pick 1 email then send Version D,Direct events and corporate-partnership emails,,,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
36,Mandarin Oriental New York,2,C,Venue / hotel / hospitality,monyc-catering@mohg.com,Send Version C,Direct catering email and phone,,212-805-8815,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
37,"The Beekman, a Thompson Hotel",2,C,Venue / hotel / hospitality,BeekmanSales@ThompsonHotels.com,Send Version C,Direct sales email and phone,,212-233-2300,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
