email,category,reason,firstName,lastName
inquiries@mellon.org,REVIEW,Generic/role mailbox: inquiries,"Emil Kang, Program DIrector",
media@kresge.org,REVIEW,Generic/role mailbox: media,"Ines Miller, Program Manager",
inquiries@musicmanfoundation.org,REVIEW,Generic/role mailbox: inquiries,"Sarah Lyding, Executive Director",
media@gatesfoundation.org,REVIEW,Generic/role mailbox: media,"Rob Nabors, Director",
business@us.lili.co,REVIEW,Generic/role mailbox: business,Lili,
hi@nysad65.com,REVIEW,Generic/role mailbox: hi,Office of Assemblymember Grace Lee,
hello@writeepicgrants.com,REVIEW,Generic/role mailbox: hello,Write Epic Grants,
hello@cayenapress.org,REVIEW,Generic/role mailbox: hello,Raynelda,Calderon
team@covve.com,REVIEW,Generic/role mailbox: team,Team at Covve,
hello@mail.grammarly.com,REVIEW,Generic/role mailbox: hello,Grammarly,
team@samcart.com,REVIEW,Generic/role mailbox: team,"""Brian @ Typeset""",
partners@speakhire.org,REVIEW,Generic/role mailbox: partners,Hetal,Jani
hello@team-wonder.com,REVIEW,Generic/role mailbox: hello,Hello Email,
hello@instrumentl.com,REVIEW,Generic/role mailbox: hello,Instrumentl,
hello@mail.idealist.org,REVIEW,Generic/role mailbox: hello,"""Jennifer, Idealist""",
team@theshareway.com,REVIEW,Generic/role mailbox: team,TheShareWay,
hello@creativemarket.com,REVIEW,Generic/role mailbox: hello,Creative Market,
administrator@grantinterface.com,REVIEW,Generic/role mailbox: administrator,New York Foundation,
events@fundraiseup.com,REVIEW,Generic/role mailbox: events,Fundraise Up,
team@mail.vapi.ai,REVIEW,Generic/role mailbox: team,Team Vapi,
team@mail.goodstack.io,REVIEW,Generic/role mailbox: team,Adobe x Goodstack,
hello@mail.blinkist.com,REVIEW,Generic/role mailbox: hello,Blinkist,
news@team.semrush.com,REVIEW,Generic/role mailbox: news,Semrush,
hello@nonprofitmegaphone.org,REVIEW,Generic/role mailbox: hello,Nonprofit Megaphone,
hello@account.blinkist.com,REVIEW,Generic/role mailbox: hello,Blinkist,
hello@namecheap.com,REVIEW,Generic/role mailbox: hello,Namecheap,
hello@students.udemy.com,REVIEW,Generic/role mailbox: hello,Udemy,
events@techsoup.org,REVIEW,Generic/role mailbox: events,TechSoup,
hello@calmcitynyc.com,REVIEW,Generic/role mailbox: hello,Patricia,Sarnataro
hello@pledge.to,REVIEW,Generic/role mailbox: hello,Pledge,
team@anotherzero.com,REVIEW,Generic/role mailbox: team,"""Nick @ AnotherZero""",
team@typeset.com,REVIEW,Generic/role mailbox: team,The Typeset Team,
hello@fundraising.ai,REVIEW,Generic/role mailbox: hello,"""Jen at Fundraising.AI""",
hello@storyraise.com,REVIEW,Generic/role mailbox: hello,Storyraise,
onboarding@nextiva.com,REVIEW,Generic/role mailbox: onboarding,Onboarding,
hello@breakoutclips.com,REVIEW,Generic/role mailbox: hello,Breakout Clips,
hello@risingtideeffect.org,REVIEW,Generic/role mailbox: hello,Kate,Krause
team@a360.com,REVIEW,Generic/role mailbox: team,Kyle at Abundance360,
hello@hiya.com,REVIEW,Generic/role mailbox: hello,Hiya Team,
business@t-mobile.com,REVIEW,Generic/role mailbox: business,T-Mobile for Business,
